title,id,description,image_link,price,availability,link
Llavero de Bolso,71,"Cómo hacer para no perder las llaves y además estar bella. Con este maravilloso llavero hecho con una combinación preciosa de colores jamás volverás a perder las llaves.

Materiales
Hilo bordado.
Cierres de bronce
",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2359444503.jpg,12.0,in stock,https://muyaya.es#!/Llavero-de-Bolso/p/368476751
Llavero De Bolso,69,"Cómo hacer para no perder las llaves y además estar bella. Con este maravilloso llavero hecho con una combinación preciosa de colores jamás volverás a perder las llaves.  

Materiales
Hilo bordado.
Cierres de bronce.


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2289626209.jpg,12.0,in stock,https://muyaya.es#!/Llavero-De-Bolso/p/357830803
Pendiente De Flor,10,"Pendientes de flor de bronce hecha a mano con cadena cristales y perlas. Cada una de las flores esta cortada tallada y trabajada a mano en nuestro taller. Todas las piezas se engarzan a mano.

Materiales
Flor de bronce creada a mano
Perlas blancas
cristal

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1790867346.jpg,16.99,out of stock,https://muyaya.es#!/Pendiente-De-Flor/p/253354824
pendientes de aro / pendientes de piedra / pendientes de oro y azul,24,"Maravillosos pendientes de aros creados con cuarzos azules y cuentas doradas que en conjunto crean una pieza ideal para un vestido de noche. Pendientes redondos de 5 cm de diámetro.

Materiales
Cuarzos azul
Cuentas doradas
Broche de cobre


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2043898543.jpg,15.0,in stock,https://muyaya.es#!/pendientes-de-aro-pendientes-de-piedra-pendientes-de-oro-y-azul/p/272399119
pendientes de aro / pendientes de piedra / pendientes de oro y verde,27,"Maravillosos pendientes de aros creados con cuarzos verdes y cuentas doradas que en conjunto crean una pieza ideal para un vestido de noche. Pendientes redondos de 5 cm de diámetro.

Materiales
Cuarzos verdes
Cuentas doradas
Broche de cobre


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2232972390.jpg,15.0,in stock,https://muyaya.es#!/pendientes-de-aro-pendientes-de-piedra-pendientes-de-oro-y-verde/p/273532271
Pendientes De Aro / Pendientes De Piedras /pendientes Dorados,51,"Maravillosos pendientes de aros creados con cuarzos marrones y cuentas doradas que en conjunto crean una pieza ideal para un vestido de noche. Pendientes redondos de 5 cm de diámetro.

Materiales
Cuarzos marrones
Cuentas doradas
Broche de cobre


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2232933688.jpg,15.0,in stock,https://muyaya.es#!/Pendientes-De-Aro-Pendientes-De-Piedras-pendientes-Dorados/p/300536453
Pendientes de aro / pendientes de piedras / pendientes largos,22,"Hermosos pendientes de aro creados circulares con piedras pulidas a mano. Combinación de tamaños y colores para generar una hermosa obra de arte. Quedan perfectos con cualquier modelo así que no pierdas la oportunidad.

Materiales
Piedras pulidas a mano.
Broches plateados.


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2048798356.jpg,13.0,in stock,https://muyaya.es#!/Pendientes-de-aro-pendientes-de-piedras-pendientes-largos/p/260852529
Pendientes de Aros / Pendientes Redondos,38,"Preciosos pendientes de aro con piedras que rodean el aro. Son preciosos y minimalistas y valen para cualquier ocasión. Son de 3.5 cm de largo y el colgante son 2 cm de diámetro.

Materiales
Cristal Checo

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1954915297.jpg,10.0,in stock,https://muyaya.es#!/Pendientes-de-Aros-Pendientes-Redondos/p/289057196
Pendientes de Aros / Pendientes Redondos,63,"Preciosos pendientes de aro con piedras que rodean el aro. Son preciosos y minimalistas y valen para cualquier ocasión. Son de 5.5 cm de largo y el colgante son 4 cm de diámetro.

Materiales
Cristal Checo

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2075842834.jpg,10.0,in stock,https://muyaya.es#!/Pendientes-de-Aros-Pendientes-Redondos/p/308065135
pendientes de aros / pendientes redondos / pendientes rojos,46,"Preciosos pendientes circulares creados mediante la combinación de diferentes cristales checos. Están delicadamente enlazados con un hilo de cobre para crear esta obra. El tamaño es de 15 pulgadas (4 cm)

Materiales
Cristales Checos
Hilo de bronce


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2049175301.jpg,10.0,in stock,https://muyaya.es#!/pendientes-de-aros-pendientes-redondos-pendientes-rojos/p/293317677
pendientes de bolas / pendientes azules / aretes largos,2,"Cuando el mar se vuelve azul aparece el corazón. Pendientes largos de bronce con cuentas de madera azules y doradas. Corazón de bronce hecho a mano.

Materiales
Hojas de bronce trabajadas a mano y envejecidas con acido.
Piedras azules.
Broches de cobre.


",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/1791087874.jpg,13.6,out of stock,https://muyaya.es#!/pendientes-de-bolas-pendientes-azules-aretes-largos/p/245631381
Pendientes de coral rojo / Pendientes rojo / Pendientes dorados,45,"Preciosos pendientes formados por un cuerpo dorado que se viste con un coral rojos. La combinación crea unos hermosos y elegantes pendientes

Materiales
Cuerpo dorado
coral rojo

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2233014305.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-de-coral-rojo-Pendientes-rojo-Pendientes-dorados/p/293306593
Pendientes De Corazón / Pendientes De Perlas / Pendientes Pequeños.,53,"Preciosos pendientes de corazón y perlas creados a mano que lucen perfectamente con cualquier combinación. Pendientes con corazones de bronce talladas a mano y trabajadas con ácido.
Las piezas de corazones son creadas a mano y trabajadas en nuestro taller al no ser creados en una fabrica China el resultado puede variar sobre la imagen de la foto.

Materiales
Corazón de cobre trabajada a mano y envejecida con ácido.
Perlas

",https://d2j6dbq0eux0bg.cloudfront.net/images/38708668/2049205119.jpg,12.0,in stock,https://muyaya.es#!/Pendientes-De-Corazón-Pendientes-De-Perlas-Pendientes-Pequeños/p/300868429
